from,to,time
Manuel Peter Neuer,FC Schalke 04 Jugend,1991
Manuel Peter Neuer,FC Schalke 04 U17,2001
Manuel Peter Neuer,FC Schalke 04 U19,2003
Manuel Peter Neuer,FC Schalke 04,2005
Manuel Peter Neuer,FC Bayern Muenchen,2011
Sven Ulreich,TSV Lichtenwald Jugend,1993
Sven Ulreich,TSV Schornbach Jugend,1994
Sven Ulreich,VfB Stuttgart Jugend,1998
Sven Ulreich,VfB Stuttgart U17,2003
Sven Ulreich,VfB Stuttgart U19,2005
Sven Ulreich,VfB Stuttgart II,2007
Sven Ulreich,VfB Stuttgart,2008
Sven Ulreich,FC Bayern Muenchen,2015
Christian Fruechtl,FC Bayern Muenchen Jugend,2014
Christian Fruechtl,FC Bayern Muenchen U16,2015
Christian Fruechtl,FC Bayern Muenchen U17,2016
Christian Fruechtl,FC Bayern Muenchen U19,2017
Christian Fruechtl,FC Bayern Muenchen,2017
Mats Julian Hummels,FC Bayern Muenchen Jugend,1995
Mats Julian Hummels,FC Bayer Muenchen U17,2003
Mats Julian Hummels,FC Bayern Muenchen U19,2005
Mats Julian Hummels,FC Bayern Muenchen II,2006
Mats Julian Hummels,FC Bayern Muenchen,2007
Mats Julian Hummels,Borussia Dortmund,2009
Mats Julian Hummels,FC Bayern,2016
Niklas Suele,Eintracht Frankfurt Jugend,2006
Niklas Suele,SV Darmstadt 98 Jugend,2009
Niklas Suele,TSG 1899 Hoffenheim Jugend,2010
Niklas Suele,TSG 1899 Hoffenheim U17,2010
Niklas Suele,TSG 1899 Hoffenheim U19,2011
Niklas Suele,TSG 1899 Hoffenheim II,2012
Niklas Suele,TSG 1899 Hoffenheim,2013
Niklas Suele,FC Bayern Muenchen,2017
Jerome Agyenim Boateng,Tennis Borussia Berlin Jugend,1998
Jerome Agyenim Boateng,Hertha BSC Jugend,2002
Jerome Agyenim Boateng,Hertha BSC U17,2003
Jerome Agyenim Boateng,Hertha BSC U19,2005
Jerome Agyenim Boateng,Hertha BSC II,2006
Jerome Agyenim Boateng,Hertha BSC,2007
Jerome Agyenim Boateng,Hamburger SV,2007
Jerome Agyenim Boateng,Manchester City,2010
Jerome Agyenim Boateng,FC Bayern Muenchen,2011
David Olatukunbo Alaba,SV Aspern Jugend,2001
David Olatukunbo Alaba,FK Austria Wien Jugend,2002
David Olatukunbo Alaba,AKA Austria Wien U16,2007
David Olatukunbo Alaba,AKA Austria Wien U18,2007
David Olatukunbo Alaba,Young Violets Austria Wien,2008
David Olatukunbo Alaba,FC Bayern Muenchen U19,2008
David Olatukunbo Alaba,FC Bayern Muenchen II,2009
David Olatukunbo Alaba,FC Bayern Muenchen,2010
Joshua Walter Kimmich,VfB Stuttgart Jugend,2007
Joshua Walter Kimmich,VfB Stuttgart U17,2010
Joshua Walter Kimmich,VfB Stuttgart U19,2012
Joshua Walter Kimmich,RB Leipzig,2013
Joshua Walter Kimmich,VfB Stuttgart,2015
Joshua Walter Kimmich,FC Bayern Muenchen,2015
Marcio Rafael Ferreira de Souza,Gremio Londrinense Jugend,1992
Marcio Rafael Ferreira de Souza,Parana Soccer Technical Center,1997
Marcio Rafael Ferreira de Souza,Londrina Esporte Clube,2001
Marcio Rafael Ferreira de Souza,Coritiba FC,2002
Marcio Rafael Ferreira de Souza,FC Schalke 04,2005
Marcio Rafael Ferreira de Souza,FC Genua 1893,2010
Marcio Rafael Ferreira de Souza,FC Bayern Muenchen,2011
Javier Martinez Aguinaga,CA Osasuna B,2005
Javier Martinez Aguinaga,Athletic Bilbao,2006
Javier Martinez Aguinaga,FC Bayern Muenchen,2012
Thiago Alcantara do Nascimento,Priegue CF,1997
Thiago Alcantara do Nascimento,FC Kelme,2000
Thiago Alcantara do Nascimento,Flamengo Rio de Janeiro,2001
Thiago Alcantara do Nascimento,Ureca Nigran,2004
Thiago Alcantara do Nascimento,FC Barcelona B,2007
Thiago Alcantara do Nascimento,FC Barcelona,2011
Thiago Alcantara do Nascimento,FC Bayern Muenchen,2013
Corentin Tolisso,ST Amplepuisien Jugend,2000
Corentin Tolisso,FC du Pays de l Arbresle Jugend,2004
Corentin Tolisso,Olympique Lyon Jugend,2007
Corentin Tolisso,Olympique Lyon B,2012
Corentin Tolisso,Olympique Lyon,2014
Corentin Tolisso,FC Bayern Muenchen,2017
Leon Goretzka,WSV Bochum Jugend,1999
Leon Goretzka,VfL Bochum Jugend,2001
Leon Goretzka,VfL Bochum U17,2010
Leon Goretzka,VfL Bochum U19,2011
Leon Goretzka,VfL Bochum,2012
Leon Goretzka,FC Schalke 04,2013
Leon Goretzka,FC Bayern Muenchen,2018
Renato Junior Luz Sanches,Aguias da Musgueira,2006
Renato Junior Luz Sanches,Benfica Lissabon Jugend,2008
Renato Junior Luz Sanches,Benfica Lissabon U15,2010
Renato Junior Luz Sanches,Benfica Lissabon U17,2012
Renato Junior Luz Sanches,Benfica Lissabon U19,2014
Renato Junior Luz Sanches,Benfica Lissabon B,2015
Renato Junior Luz Sanches,Benfica Lissabon,2015
Renato Junior Luz Sanches,FC Bayern Muenchen,2016
Renato Junior Luz Sanches,Swansea City,2017
Renato Junior Luz Sanches,FC Bayern Muenchen,2018
James David Rodriguez Rubio,Academia Tolimense de Futbol,2001
James David Rodriguez Rubio,Envigado FC Jugend,2005
James David Rodriguez Rubio,Envigado FC,2007
James David Rodriguez Rubio,Club Atletico Banfield U20,2008
James David Rodriguez Rubio,Club Atletico Banfield,2009
James David Rodriguez Rubio,FC Porto,2010
James David Rodriguez Rubio,AS Monaco,2013
James David Rodriguez Rubio,Real Madrid,2014
James David Rodriguez Rubio,FC Bayern Muenchen,2017
Kingsley Junior Coman,US Senart Moissy Jugend,2002
Kingsley Junior Coman,FC Paris Saint Germain Jugend,2004
Kingsley Junior Coman,FC Paris Saint Germain U19,2013
Kingsley Junior Coman,FC Paris Saint Germain,2013
Kingsley Junior Coman,Juventus Turin,2014
Kingsley Junior Coman,FC Bayern Muenchen,2017
Serge David Gnabry,TSV Weissach Jugend,1999
Serge David Gnabry,TSF Ditzingen Jugend,2003
Serge David Gnabry,VfB Stuttgart Jugend,2005
Serge David Gnabry,VfB Stuttgart U17,2010
Serge David Gnabry,FC Arsenal U18,2011
Serge David Gnabry,FC Arsenal,2013
Serge David Gnabry,SV Werder Bremen,2016
Serge David Gnabry,FC Bayern Muenchen,2017
Franck Henry Pierre Ribery,FC Conti de Boulogne sur Mer,1989
Franck Henry Pierre Ribery,OSC Lille Jugend,1995
Franck Henry Pierre Ribery,US Boulogne U19,1999
Franck Henry Pierre Ribery,US Boulogne,2000
Franck Henry Pierre Ribery,Olympique Ales,2002
Franck Henry Pierre Ribery,Stade Brest 29,2003
Franck Henry Pierre Ribery,FC Metz,2004
Franck Henry Pierre Ribery,Galatasaray Istanbul,2005
Franck Henry Pierre Ribery,Olympique Marseille,2005
Franck Henry Pierre Ribery,FC Bayern Muenchen,2007
Thomas Mueller,TSV Paehl Jugend,1993
Thomas Mueller,FC Bayern Muenchen Jugend,2000
Thomas Mueller,FC Bayern Muenchen U17,2004
Thomas Mueller,FC Bayern Muenchen U19,2006
Thomas Mueller,FC Bayern Muenchen II,2008
Thomas Mueller,FC Bayern Muenchen,2009
Arjen Robben,VV Bedum Jugend,1989
Arjen Robben,FC Groningen Jugend,1996
Arjen Robben,FC Groningen U17,1999
Arjen Robben,FC Groningen U19,2000
Arjen Robben,FC Groningen,2001
Arjen Robben,PSV Eindhoven,2002
Arjen Robben,FC Chelsea,2004
Arjen Robben,Real Madrid,2007
Arjen Robben,FC Bayern Muenchen,2009
Robert Lewandowski,KSP Partyzant Leszno Jugend,1996
Robert Lewandowski,Delta Warszawa,1997
Robert Lewandowski,Legia Warschau II,2005
Robert Lewandowski,Znicz Pruszkow,2006
Robert Lewandowski,Lech Posen,2008
Robert Lewandowski,Borussia Dortmund,2010
Robert Lewandowski,FC Bayern Muenchen,2014
Sandro Wagner,FC Hertha Muenchen Jugend,1990
Sandro Wagner,FC Bayern Muenchen Jugend,1995
Sandro Wagner,FC Bayern Muenchen U17,2002
Sandro Wagner,FC Bayern Muenchen U19,2004
Sandro Wagner,FC Bayern Muenchen II,2006
Sandro Wagner,FC Bayern Muenchen,2007
Sandro Wagner,MSV Duisburg,2008
Sandro Wagner,SV Werder Bremen,2010
Sandro Wagner,Hertha BSC,2012
Sandro Wagner,SV Darmstadt 98,2015
Sandro Wagner,TSG 1899 Hoffenheim,2016
Sandro Wagner,FC Bayern Muenchen,2018
