from,to,time
Fabian Bredlow,FC Hertha 03 Zehlendorf Jugend,2010
Fabian Bredlow,RasenBallsport Leipzig Jugend,2012
Fabian Bredlow,Hallescher FC,2015
Fabian Bredlow,1 FC Nuernberg,2017
Christian Mathenia,1 FSV Mainz 05 Jugend,2006
Christian Mathenia,1 FSV Mainz 05 II,2011
Christian Mathenia,SV Darmstadt 98,2014
Christian Mathenia,Hamburger SV,2016
Christian Mathenia,1 FC Nuernberg,2018
Patric Klandt,Eintracht Frankfurt Jugend,1990
Patric Klandt,VfR Kesselstadt Jugend,1997
Patric Klandt,Eintracht Frankfurt Jugend,2000
Patric Klandt,Eintracht Frankfurt II,2001
Patric Klandt,SV Wehen Wiesbaden,2004
Patric Klandt,FC Hansa Rostock,2006
Patric Klandt,FSV Frankfurt,2008
Patric Klandt,SC Freiburg,2015
Patric Klandt,1 FC Nuernberg,2018
Ewerton Jose Almeida Santos,Coimbra Esporte Clube Ltda,2011
Ewerton Jose Almeida Santos,Anzhi Makhachkala,2012
Ewerton Jose Almeida Santos,Sporting Lissabon,2015
Ewerton Jose Almeida Santos,1 FC Nuernberg,2017
Lukas Muehl,1 FC Nuernberg Jugend,2011
Lukas Muehl,1 FC Nuernberg II,2016
Lukas Muehl,1 FC Nuernberg,2016
Georg Margreitter,FC Schruns Jugend,1999
Georg Margreitter,AKA Vorarlberg Jugend,2002
Georg Margreitter,LASK,2007
Georg Margreitter,FK Austria Wien,2010
Georg Margreitter,Wolverhampton Wanderers,2012
Georg Margreitter,1 FC Nuernberg,2015
Lukas Jaeger,FC Alberschwende Jugend,2003
Lukas Jaeger,AKA Vorarlberg Jugend,2008
Lukas Jaeger,SC Rheindorf Altach II,2011
Lukas Jaeger,SC Rheindorf Altach,2011
Lukas Jaeger,1 FC Nuernberg,2017
Tim Leibold,VfB Stuttgart Jugend,2000
Tim Leibold,TSF Ditzingen Jugend,2006
Tim Leibold,SGV Freiberg Jugend,2009
Tim Leibold,SGV Freiberg,2011
Tim Leibold,VfB Stuttgart II,2013
Tim Leibold,1 FC Nuernberg,2015
Dennis Lippert,SpVgg Weiden Jugend,2003
Dennis Lippert,1 FC Nuernberg Jugend,2012
Dennis Lippert,1 FC Nuernberg II,2015
Dennis Lippert,1 FC Nuernberg,2017
Robert Bauer,Karlsruher SC Jugend,2010
Robert Bauer,FC Ingolstadt 04,2014
Robert Bauer,SV Werder Bremen,2016
Robert Bauer,1 FC Nuernberg,2018
Enrico Valentini,1 FC Nuernberg Jugend,1994
Enrico Valentini,1 FC Nuernberg II,2008
Enrico Valentini,VfR Aalen,2010
Enrico Valentini,Karlsruher SC,2014
Enrico Valentini,1 FC Nuernberg,2017
Kevin Goden,1 FC Koeln Jugend,2015
Kevin Goden,1 FC Nuernberg,2018
Eduard Loewen,1 FC Kaiserslautern Jugend,2008
Eduard Loewen,1 FC Saarbruecken Jugend,2015
Eduard Loewen,1 FC Nuernberg II,2016
Eduard Loewen,1 FC Nuernberg,2017
Patrick Erras,SV Raigering Jugend,2000
Patrick Erras,1 FC Nuernberg Jugend,2007
Patrick Erras,1 FC Nuernberg II,2014
Patrick Erras,1 FC Nuernberg,2015
Ondrej Petrak,SK Olympie Dolni Brezany Jugend,1997
Ondrej Petrak,ABC Branik Jugend,1998
Ondrej Petrak,FC Bohemians Prag Jugend,2000
Ondrej Petrak,SK Slavia Prag,2011
Ondrej Petrak,1 FC Nuernberg,2014
Hanno Behrens,Hamburger SV Jugend,2005
Hanno Behrens,Hamburger SV II,2008
Hanno Behrens,Hamburger SV,2009
Hanno Behrens,Hamburger SV II,2010
Hanno Behrens,SV Darmstadt 98,2012
Hanno Behrens,1 FC Nuernberg,2015
Alexander Fuchs,TSV 1860 Muenchen Jugend,2013
Alexander Fuchs,TSV 1860 Muenchen II,2016
Alexander Fuchs,1 FC Nuernberg,2017
Timothy Tillman,SpVgg Greuther Fuerth Jugend,2009
Timothy Tillman,FC Bayern Muenchen Jugend,2015
Timothy Tillman,FC Bayern Muenchen II,2017
Timothy Tillman,1 FC Nuernberg,2018
Virgil Misidjan,Willem II Tilburg Jugend,2008
Virgil Misidjan,Willem II Tilburg,2012
Virgil Misidjan,PFK Ludogorets Razgrad,2013
Virgil Misidjan,1 FC Nuernberg,2018
