id,label,type,detail
Aaron Martin Caricol,Aaron Martin Caricol,1,na
Abdou Lakhad Diallo,Abdou Lakhad Diallo,1,na
Achraf Hakimi,Achraf Hakimi,1,na
Adam Bodzek,Adam Bodzek,1,na
Adam Csaba Szalai,Adam Csaba Szalai,1,na
Adam Zrelak,Adam Zrelak,1,na
Admir Mehmedi,Admir Mehmedi,1,na
Ahmet Guerleyen,Ahmet Guerleyen,1,na
Alassane Plea,Alassane Plea,1,na
Aleksandar Dragovic,Aleksandar Dragovic,1,na
Alessandro Schoepf,Alessandro Schoepf,1,na
Alexander Esswein,Alexander Esswein,1,na
Alexander Fuchs,Alexander Fuchs,1,na
Alexander Hack,Alexander Hack,1,na
Alexander Isak,Alexander Isak,1,na
Alexander Niklas Meyer Schade,Alexander Niklas Meyer Schade,1,na
Alexander Nuebel,Alexander Nuebel,1,na
Alexander Schwolow,Alexander Schwolow,1,na
Alexander Stolz,Alexander Stolz,1,na
Alexandru Iulian Maxim,Alexandru Iulian Maxim,1,na
Alfred Finnbogason,Alfred Finnbogason,1,na
Alfredo Morales,Alfredo Morales,1,na
Allan Rodrigues de Souza,Allan Rodrigues de Souza,1,na
Amine Harit,Amine Harit,1,na
Amir Malush Abrashi,Amir Malush Abrashi,1,na
Anastasios Donis,Anastasios Donis,1,na
Andre Hahn,Andre Hahn,1,na
Andre Hoffmann,Andre Hoffmann,1,na
Andreas Beck,Andreas Beck,1,na
Andreas Luthe,Andreas Luthe,1,na
Andreas Poulsen,Andreas Poulsen,1,na
Andrej Kramaric,Andrej Kramaric,1,na
Ante Rebic,Ante Rebic,1,na
Anthony Ujah,Anthony Ujah,1,na
Arjen Robben,Arjen Robben,1,na
Armindo Tue Na Bangna,Armindo Tue Na Bangna,1,na
Arne Maier,Arne Maier,1,na
Aron Johannsson,Aron Johannsson,1,na
Atinc Nukan,Atinc Nukan,1,na
Axel Laurent Angel Lambert Witsel,Axel Laurent Angel Lambert Witsel,1,na
Aymen Barkok,Aymen Barkok,1,na
Baba Abdul Rahman,Baba Abdul Rahman,1,na
Bastian Oczipka,Bastian Oczipka,1,na
Benito Raman,Benito Raman,1,na
Benjamin Fernand Lucien Francois Stambouli,Benjamin Fernand Lucien Francois Stambouli,1,na
Benjamin Goller,Benjamin Goller,1,na
Benjamin Huebner,Benjamin Huebner,1,na
Benjamin Pavard,Benjamin Pavard,1,na
Berkay Oezcan,Berkay Oezcan,1,na
Bobby Shou Wood,Bobby Shou Wood,1,na
Borna Sosa,Borna Sosa,1,na
Bote Nzuzi Baku,Bote Nzuzi Baku,1,na
Brandon Borrello,Brandon Borrello,1,na
Branimir Hrgota,Branimir Hrgota,1,na
Breel Donald Embolo,Breel Donald Embolo,1,na
Caiuby Francisco da Silva,Caiuby Francisco da Silva,1,na
Caleb James Stanko,Caleb James Stanko,1,na
Carlos Joel Salcedo Hernandez,Carlos Joel Salcedo Hernandez,1,na
Cedric Teuchert,Cedric Teuchert,1,na
Chadrac Akolo,Chadrac Akolo,1,na
Charles Mariano Aranguiz Sandoval,Charles Mariano Aranguiz Sandoval,1,na
Chima Sean Okoroji,Chima Sean Okoroji,1,na
Christian Fruechtl,Christian Fruechtl,1,na
Christian Gentner,Christian Gentner,1,na
Christian Guenter,Christian Guenter,1,na
Christian Mate Pulisic,Christian Mate Pulisic,1,na
Christian Mathenia,Christian Mathenia,1,na
Christoph Janker,Christoph Janker,1,na
Christoph Kramer,Christoph Kramer,1,na
Claudio Miguel Pizarro Bosio,Claudio Miguel Pizarro Bosio,1,na
Constantin Frommann,Constantin Frommann,1,na
Corentin Tolisso,Corentin Tolisso,1,na
Dan Axel Zagadou,Dan Axel Zagadou,1,na
Daniel Baier,Daniel Baier,1,na
Daniel Brosinski,Daniel Brosinski,1,na
Daniel Caligiuri,Daniel Caligiuri,1,na
Daniel Didavi,Daniel Didavi,1,na
Daniel Ginczek,Daniel Ginczek,1,na
Danny Latza,Danny Latza,1,na
Danny Vieira da Costa,Danny Vieira da Costa,1,na
David Angel Abraham,David Angel Abraham,1,na
David Kopacz,David Kopacz,1,na
David Olatukunbo Alaba,David Olatukunbo Alaba,1,na
David Otto,David Otto,1,na
Davie Selke,Davie Selke,1,na
Davor Lovren,Davor Lovren,1,na
Davy Klaassen,Davy Klaassen,1,na
Dayotchanculle Oswald Upamecano,Dayotchanculle Oswald Upamecano,1,na
Deji Ousman Beyreuther,Deji Ousman Beyreuther,1,na
Denis Lemi Zakaria Lako Lado,Denis Lemi Zakaria Lako Lado,1,na
Dennis Aogo,Dennis Aogo,1,na
Dennis Geiger,Dennis Geiger,1,na
Dennis Jastrzembski,Dennis Jastrzembski,1,na
Dennis Lippert,Dennis Lippert,1,na
Dennis Smarsch,Dennis Smarsch,1,na
Derrick Luckassen,Derrick Luckassen,1,na
Diego Armando Valentin Contento,Diego Armando Valentin Contento,1,na
Diego Demme,Diego Demme,1,na
Dodi Lukebakio Ngandoli,Dodi Lukebakio Ngandoli,1,na
Dominik Kohr,Dominik Kohr,1,na
Dominique Heintz,Dominique Heintz,1,na
Dongwon Ji,Dongwon Ji,1,na
Dzenis Burnic,Dzenis Burnic,1,na
Edgar Nicaise Constant Salli,Edgar Nicaise Constant Salli,1,na
Edgar Prib,Edgar Prib,1,na
Eduard Loewen,Eduard Loewen,1,na
Elvis Rexhbecaj,Elvis Rexhbecaj,1,na
Emil Berggreen,Emil Berggreen,1,na
Emil Peter Forsberg,Emil Peter Forsberg,1,na
Emiliano Adrian Insua Zapata,Emiliano Adrian Insua Zapata,1,na
Emir Kujovic,Emir Kujovic,1,na
Emre Mert Aslan,Emre Mert Aslan,1,na
Enrico Valentini,Enrico Valentini,1,na
Eric Oelschlaegel,Eric Oelschlaegel,1,na
Erik Thommy,Erik Thommy,1,na
Ermin Bicakcic,Ermin Bicakcic,1,na
Ewerton Jose Almeida Santos,Ewerton Jose Almeida Santos,1,na
Fabian Bredlow,Fabian Bredlow,1,na
Fabian Giefer,Fabian Giefer,1,na
Fabian Johnson,Fabian Johnson,1,na
Fabian Lustenberger,Fabian Lustenberger,1,na
Federico Palacios Martinez,Federico Palacios Martinez,1,na
Felipe Augusto Rodrigues Pires,Felipe Augusto Rodrigues Pires,1,na
Felipe Trevizan Martins,Felipe Trevizan Martins,1,na
Felix Goetze,Felix Goetze,1,na
Felix Klaus,Felix Klaus,1,na
Felix Olof Allan Nelson Beijmo,Felix Olof Allan Nelson Beijmo,1,na
Felix Schwarzholz,Felix Schwarzholz,1,na
Felix Wiedwald,Felix Wiedwald,1,na
Filip Kostic,Filip Kostic,1,na
Fin Bartels,Fin Bartels,1,na
Finn Gilbert Dahmen,Finn Gilbert Dahmen,1,na
Florent Muslija,Florent Muslija,1,na
Florian Baak,Florian Baak,1,na
Florian Grillitsch,Florian Grillitsch,1,na
Florian Kainz,Florian Kainz,1,na
Florian Kath,Florian Kath,1,na
Florian Mayer,Florian Mayer,1,na
Florian Mueller,Florian Mueller,1,na
Florian Neuhaus,Florian Neuhaus,1,na
Florian Niederlechner,Florian Niederlechner,1,na
Francisco Alcacer Garcia,Francisco Alcacer Garcia,1,na
Francisco Oliveira Geraldes,Francisco Oliveira Geraldes,1,na
Franck Henry Pierre Ribery,Franck Henry Pierre Ribery,1,na
Franco Matias Di Santo,Franco Matias Di Santo,1,na
Frederik Riis Roennow,Frederik Riis Roennow,1,na
Fredrik Jensen,Fredrik Jensen,1,na
Gaetan Bussmann,Gaetan Bussmann,1,na
Gelson da Conceicao Tavares Fernandes,Gelson da Conceicao Tavares Fernandes,1,na
Genki Haraguchi,Genki Haraguchi,1,na
Georg Margreitter,Georg Margreitter,1,na
Georg Teigl,Georg Teigl,1,na
Georgios Siadas,Georgios Siadas,1,na
Gerrit Holtmann,Gerrit Holtmann,1,na
Gian Luca Itter,Gian Luca Itter,1,na
Gian Luca Waldschmidt,Gian Luca Waldschmidt,1,na
Giulio Donati,Giulio Donati,1,na
Goekhan Guel,Goekhan Guel,1,na
Goncalo Mendes Paciencia,Goncalo Mendes Paciencia,1,na
Gonzalo Castro Montilla,Gonzalo Castro Montilla,1,na
Gregor Kobel,Gregor Kobel,1,na
Guido Burgstaller,Guido Burgstaller,1,na
Hamza Mendyl,Hamza Mendyl,1,na
Hanno Behrens,Hanno Behrens,1,na
Hans Carl Ludwig Augustinsson,Hans Carl Ludwig Augustinsson,1,na
Hans Nunoo Sarpei,Hans Nunoo Sarpei,1,na
Havard Nielsen Kallevik Nielsen,Havard Nielsen Kallevik Nielsen,1,na
Havard Nordtveit,Havard Nordtveit,1,na
Hendrik Weydandt,Hendrik Weydandt,1,na
Holger Badstuber,Holger Badstuber,1,na
Ibrahima Konate,Ibrahima Konate,1,na
Ibrahima Traore,Ibrahima Traore,1,na
Ignacio Camacho Barnola,Ignacio Camacho Barnola,1,na
Ihlas Bebou,Ihlas Bebou,1,na
Isaac Kiese Thelin,Isaac Kiese Thelin,1,na
Ishak Belfodil,Ishak Belfodil,1,na
Ismael Azzaoui,Ismael Azzaoui,1,na
Issah Abass,Issah Abass,1,na
Iver Fossum,Iver Fossum,1,na
Jacheol Koo,Jacheol Koo,1,na
Jacob Bruun Larsen,Jacob Bruun Larsen,1,na
Jadon Malik Sancho,Jadon Malik Sancho,1,na
Jakub Blaszczykowski,Jakub Blaszczykowski,1,na
Jakub Jacek Bednarczyk,Jakub Jacek Bednarczyk,1,na
James David Rodriguez Rubio,James David Rodriguez Rubio,1,na
Jan Ingwer Callsen Bracker,Jan Ingwer Callsen Bracker,1,na
Jan Moravek,Jan Moravek,1,na
Jan Niklas Beste,Jan Niklas Beste,1,na
Jan Zimmermann,Jan Zimmermann,1,na
Janik Haberer,Janik Haberer,1,na
Jannik Huth,Jannik Huth,1,na
Jaroslav Drobny,Jaroslav Drobny,1,na
Javairo Joreno Faustino Dilrosun,Javairo Joreno Faustino Dilrosun,1,na
Javier Martinez Aguinaga,Javier Martinez Aguinaga,1,na
Jean Kevin Augustin,Jean Kevin Augustin,1,na
Jean Manuel Mbom,Jean Manuel Mbom,1,na
Jean Patrice Tshilumba Kabuya,Jean Patrice Tshilumba Kabuya,1,na
Jean Paul Boetius,Jean Paul Boetius,1,na
Jean Philippe Gbamin,Jean Philippe Gbamin,1,na
Jean Philippe Mateta,Jean Philippe Mateta,1,na
Jean Zimmer,Jean Zimmer,1,na
Jeffrey Gouweleeuw,Jeffrey Gouweleeuw,1,na
Jeffrey Kevin van Homoet Bruma,Jeffrey Kevin van Homoet Bruma,1,na
Jens Grahl,Jens Grahl,1,na
Jeremy Toljan,Jeremy Toljan,1,na
Jerome Agyenim Boateng,Jerome Agyenim Boateng,1,na
Jerome Gondorf,Jerome Gondorf,1,na
Jerome Roussillon,Jerome Roussillon,1,na
Jetro Willems,Jetro Willems,1,na
Jiri Pavlenka,Jiri Pavlenka,1,na
Joel Pohjanpalo,Joel Pohjanpalo,1,na
Joelinton Cassio Apolinario de Lira,Joelinton Cassio Apolinario de Lira,1,na
Johannes Eggestein,Johannes Eggestein,1,na
Johannes Geis,Johannes Geis,1,na
John Anthony Brooks,John Anthony Brooks,1,na
Jonas Hofmann,Jonas Hofmann,1,na
Jonathan Alexander de Guzman,Jonathan Alexander de Guzman,1,na
Jonathan Glao Tah,Jonathan Glao Tah,1,na
Jonathan Klinsmann,Jonathan Klinsmann,1,na
Jonathan Michael Burkardt,Jonathan Michael Burkardt,1,na
Jonathan Schmid,Jonathan Schmid,1,na
Jordan Torunarigha,Jordan Torunarigha,1,na
Joshua Benjamin Brenet,Joshua Benjamin Brenet,1,na
Joshua Thomas Sargent,Joshua Thomas Sargent,1,na
Joshua Walter Kimmich,Joshua Walter Kimmich,1,na
Josip Brekalo,Josip Brekalo,1,na
Josip Drmic,Josip Drmic,1,na
Josip Elez,Josip Elez,1,na
Josuha Guilavogui,Josuha Guilavogui,1,na
Jozo Stanic,Jozo Stanic,1,na
Julian Baumgartlinger,Julian Baumgartlinger,1,na
Julian Brandt,Julian Brandt,1,na
Julian Korb,Julian Korb,1,na
Julian Krahl,Julian Krahl,1,na
Julian Schieber,Julian Schieber,1,na
Julian Weigl,Julian Weigl,1,na
Julio Cesar Villalba Gaona,Julio Cesar Villalba Gaona,1,na
Julius Kade,Julius Kade,1,na
Justin Hoogma,Justin Hoogma,1,na
Kaan Ayhan,Kaan Ayhan,1,na
Kai Havertz,Kai Havertz,1,na
Karim Bellarabi,Karim Bellarabi,1,na
Karim Onisiwo,Karim Onisiwo,1,na
Karim Rekik,Karim Rekik,1,na
Kasim Adams Nuhu,Kasim Adams Nuhu,1,na
Keanan Bennetts,Keanan Bennetts,1,na
Kenan Karaman,Kenan Karaman,1,na
Kerem Demirbay,Kerem Demirbay,1,na
Keven Schlotterbeck,Keven Schlotterbeck,1,na
Kevin Akpoguma,Kevin Akpoguma,1,na
Kevin Danso,Kevin Danso,1,na
Kevin Goden,Kevin Goden,1,na
