from,to,time
Jens Grahl,Stuttgarter Kickers U19,2005
Jens Grahl,SpVgg Greuther Fuerth II,2006
Jens Grahl,SpVgg Greuther Fuerth,2007
Jens Grahl,TSG 1899 Hoffenheim II,2009
Jens Grahl,VfB Stuttgart,2016
Alexander Niklas Meyer Schade,Hamburger SV Jugend,2005
Alexander Niklas Meyer Schade,Hamburger SV U17,2006
Alexander Niklas Meyer Schade,Hamburger SV U19,2008
Alexander Niklas Meyer Schade,Hamburger SV II,2009
Alexander Niklas Meyer Schade,TSV Havelse,2012
Alexander Niklas Meyer Schade,FC Energie Cottbus,2016
Alexander Niklas Meyer Schade,VfB Stuttgart,2017
Ron Robert Zieler,FC Viktoria Koeln Jugend,1994
Ron Robert Zieler,1 FC Koeln Jugend,1999
Ron Robert Zieler,1 FC Koeln U17,2004
Ron Robert Zieler,Manchester United U18,2005
Ron Robert Zieler,Manchester United U23,2007
Ron Robert Zieler,Hannover 96,2010
Ron Robert Zieler,Leicester City,2016
Ron Robert Zieler,VfB Stuttgart,2017
Dennis Aogo,Bulacher SC Jugend,1993
Dennis Aogo,Karlsruher SC Jugend,1994
Dennis Aogo,SV Waldhof Mannheim 07 Jugend,2000
Dennis Aogo,SC Freiburg U17,2002
Dennis Aogo,SC Freiburg U19,2004
Dennis Aogo,SC Freiburg,2005
Dennis Aogo,Hamburger SV,2008
Dennis Aogo,FC Schalke 04,2014
Dennis Aogo,VfB Stuttgart,2017
Holger Badstuber,TSV Rot Rot Jugend,1994
Holger Badstuber,VfB Stuttgart Jugend,2000
Holger Badstuber,FC Bayern Muenchen Jugend,2002
Holger Badstuber,FC Bayern Muenchen U17,2005
Holger Badstuber,FC Bayern Muenchen U19,2006
Holger Badstuber,FC Bayern Muenchen II,2007
Holger Badstuber,FC Bayern Muenchen,2009
Holger Badstuber,VfB Stuttgart,2017
Timo Baumgartl,SVV Reutlingen 1905 Jugend,2010
Timo Baumgartl,VfB Stuttgart U17,2011
Timo Baumgartl,VfB Stuttgart U19,2013
Timo Baumgartl,VfB Stuttgart II,2014
Timo Baumgartl,VfB Stuttgart,2015
Andreas Beck,DJK SG Wasseralfingen Jugend,1993
Andreas Beck,SVH Koenigsbronn Jugend,1995
Andreas Beck,VfB Stuttgart Jugend,2000
Andreas Beck,VfB Stuttgart U17,2002
Andreas Beck,VfB Stuttgart U19,2004
Andreas Beck,VfB Stuttgart II,2005
Andreas Beck,VfB Stuttgart,2006
Andreas Beck,TSG 1899 Hoffenheim,2008
Andreas Beck,Besiktas Istanbul,2015
Andreas Beck,VfB Stuttgart,2017
Emiliano Adrian Insua Zapata,Club Atletico Boca Juniors,2006
Emiliano Adrian Insua Zapata,Sporting Lissabon,2011
